,unique_id,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2,avg mg/biopsy,mg/biopsy std,avg mg/cm2,mg/cm2 std,avg mg/ml,mg/ml std
134,HP71-46,HP71-20240123,B3-2,sample,hide,,B3-2,1/17/24,2.0,8.0,800.0,4.0,20.0,2186.08,2186.08,2176.65,2176.5,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.413,Plate1,G5,,1.413,,9.50500000000011,0.9967097526004607,0.19934195052009213,0.15947356041607372,0.3172625679085268,0.16183416122051159,0.16183416122051159,0.32195883399218916,0.32195883399218916,0.2022927015256394,0.2022927015256394
135,HP71-46,HP71-20240123,B3-2,sample,hide,,B3-2,1/17/24,2.0,8.0,800.0,4.0,20.0,2186.08,2186.08,2176.65,2176.5,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.48,Plate1,H5,,1.48,,9.50500000000011,1.0474021416701191,0.20948042833402383,0.16758434266721908,0.3333984565036742,0.16183416122051159,0.16183416122051159,0.32195883399218916,0.32195883399218916,0.2022927015256394,0.2022927015256394
136,HP71-47,HP71-20240123,B3-3,sample,hide,,B3-3,1/17/24,3.0,8.0,800.0,4.0,20.0,2184.43,2184.31,2174.4,2174.33,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.7480000000000002,Plate2,A5,,1.7480000000000002,,10.00500000000011,1.2993880397287667,0.2598776079457533,0.20790208635660268,0.4136080590346426,0.20847204118935198,0.20847204118935198,0.4147419481467822,0.4147419481467822,0.26059005148669,0.26059005148669
137,HP71-47,HP71-20240123,B3-3,sample,hide,,B3-3,1/17/24,3.0,8.0,800.0,4.0,20.0,2184.43,2184.31,2174.4,2174.33,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.757,Plate2,B5,,1.757,,10.00500000000011,1.3065124751381332,0.26130249502762665,0.20904199602210133,0.41587583725892185,0.20847204118935198,0.20847204118935198,0.4147419481467822,0.4147419481467822,0.26059005148669,0.26059005148669
138,HP71-47,HP71-20240123,B3-3,sample,hide,,B3-3,1/17/24,3.0,8.0,800.0,4.0,20.0,2184.43,2184.31,2174.4,2174.33,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.7209999999999999,Plate2,C5,,1.7209999999999999,,10.00500000000011,1.278014733500666,0.25560294670013317,0.20448235736010656,0.40680472436180454,0.20847204118935198,0.20847204118935198,0.4147419481467822,0.4147419481467822,0.26059005148669,0.26059005148669
139,HP71-47,HP71-20240123,B3-3,sample,hide,,B3-3,1/17/24,3.0,8.0,800.0,4.0,20.0,2184.43,2184.31,2174.4,2174.33,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.7619999999999998,Plate2,D5,,1.7619999999999998,,10.00500000000011,1.3104704948100037,0.26209409896200075,0.2096752791696006,0.4171357140501881,0.20847204118935198,0.20847204118935198,0.4147419481467822,0.4147419481467822,0.26059005148669,0.26059005148669
140,HP71-48,HP71-20240123,B3-4,sample,hide,,B3-4,1/17/24,4.0,8.0,800.0,4.0,20.0,2222.34,2222.24,2213.93,2213.82,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.554,Plate2,A10,,1.554,,8.414999999999964,1.1458168764601935,0.2291633752920387,0.18333070023363096,0.3647248395335107,0.176364585611139,0.176364585611139,0.3508661948295816,0.3508661948295816,0.22045573201392374,0.22045573201392374
141,HP71-48,HP71-20240123,B3-4,sample,hide,,B3-4,1/17/24,4.0,8.0,800.0,4.0,20.0,2222.34,2222.24,2213.93,2213.82,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.494,Plate2,B10,,1.494,,8.414999999999964,1.0983206403977481,0.21966412807954963,0.17573130246363972,0.3496063180383153,0.176364585611139,0.176364585611139,0.3508661948295816,0.3508661948295816,0.22045573201392374,0.22045573201392374
142,HP71-48,HP71-20240123,B3-4,sample,hide,,B3-4,1/17/24,4.0,8.0,800.0,4.0,20.0,2222.34,2222.24,2213.93,2213.82,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.492,Plate2,C10,,1.492,,8.414999999999964,1.096737432529,0.2193474865058,0.17547798920464,0.34910236732180877,0.176364585611139,0.176364585611139,0.3508661948295816,0.3508661948295816,0.22045573201392374,0.22045573201392374
143,HP71-48,HP71-20240123,B3-4,sample,hide,,B3-4,1/17/24,4.0,8.0,800.0,4.0,20.0,2222.34,2222.24,2213.93,2213.82,GU,,TGFBS (Liquid DMEM),PET723-30050,2/6/24,1.504,Plate2,D10,,1.504,,8.414999999999964,1.106236679741489,0.22124733594829782,0.17699786875863827,0.3521260716208479,0.176364585611139,0.176364585611139,0.3508661948295816,0.3508661948295816,0.22045573201392374,0.22045573201392374
