,HP_sid,experiment_ID,sample_ID,biopsy_id,biomaterial_id,mg/biopsy mean,mg/biopsy std,mg/ml mean,mg/ml std,mg/cm2 mean,mg/cm2 std,net weight mg,tissue areal density mg/cm2
23,HP71-36,HP71-20240123,A6-4,A6-4,PET723-30050,0.15526478933550705,,0.19408098666938378,,0.3088894838858467,,9.359999999999673,18.621128341751103
24,HP71-37,HP71-20240123,B1-1,B1-1,PET723-30050,0.00022379845515219543,,0.00027974806894024427,,0.00044523287992252194,,5.074999999999818,10.096391702391747
25,HP71-38,HP71-20240123,B1-2,B1-2,PET723-30050,-0.0011683507372085788,,-0.0014604384215107236,,-0.0023243599386475666,,8.859999999995125,17.62640994741771
26,HP71-39,HP71-20240123,B1-3,B1-3,PET723-30050,0.0586372484910246,,0.07329656061378075,,0.11665509933317933,,7.985000000000127,15.885652757360056
27,HP71-40,HP71-20240123,B1-4,B1-4,PET723-30050,-0.0009546956886567105,,-0.001193369610820888,,-0.0018993067249779576,,5.479999999999563,10.902113601793962
28,HP71-41,HP71-20240123,B2-1,B2-1,PET723-30050,-0.0010813523181565654,,-0.0013516903976957065,,-0.002151282083231216,,6.290000000005421,12.513557400611054
29,HP71-42,HP71-20240123,B2-2,B2-2,PET723-30050,0.18062914166552363,,0.2257864270819044,,0.3593502595314289,,9.21499999999969,18.332660007397077
30,HP71-43,HP71-20240123,B2-3,B2-3,PET723-30050,0.1759822374218564,,0.2199777967773205,,0.35010553727574967,,9.415000000000418,18.730547365128263
31,HP71-44,HP71-20240123,B2-4,B2-4,PET723-30050,0.16952820375009647,,0.21191025468762056,,0.33726564525397307,,9.764999999999873,19.42685024115422
32,HP71-45,HP71-20240123,B3-1,B3-1,PET723-30050,0.07055759678224865,,0.08819699597781082,,0.14036987875724605,,8.130000000004657,16.174121091723126
33,HP71-46,HP71-20240123,B3-2,B3-2,PET723-30050,0.16183416122051159,,0.20229270152563938,,0.3219588339921891,,9.50500000000011,18.90959667610603
34,HP71-47,HP71-20240123,B3-3,B3-3,PET723-30050,0.20847204118935198,,0.26059005148668996,,0.4147419481467821,,10.00500000000011,19.904315070430375
35,HP71-48,HP71-20240123,B3-4,B3-4,PET723-30050,0.17636458561113894,,0.22045573201392366,,0.3508661948295815,,8.415000000000418,16.74111057647957
36,HP71-49,HP71-20240123,B4-1,B4-1,PET723-30050,0.17218491683764378,,0.21523114604705468,,0.34255100800722404,,7.809999999994943,15.53750131933622
37,HP71-50,HP71-20240123,B4-2,B4-2,PET723-30050,0.18527604590919072,,0.23159505738648836,,0.3685949817871079,,8.885000000000218,17.676145867144058
38,HP71-51,HP71-20240123,B4-3,B4-3,PET723-30050,0.17204527688208288,,0.21505659610260355,,0.3422732031424658,,9.055000000005748,18.014350121225338
39,HP71-52,HP71-20240123,B4-4,B4-4,PET723-30050,0.11118373935738673,,0.1389796741967334,,0.22119302137711258,,9.075000000000273,18.054138856987418
