"id","experiment_id","biopsy_id","biomaterial_id","mg_per_biopsy_mean","mg_per_biopsy_std","mg_per_ml_mean","mg_per_ml_std","mg_per_cm2_mean","mg_per_cm2_std","net_weight_mg","tissue_areal_density_mg_per_cm2","sample_id","hp_sid"
85,"HP14-20231020","20230921-1-dig_media_D28",NULL,NULL,NULL,"0.001623545",NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,"HP14-20231020","20230921-1-dig_media_D9",NULL,NULL,NULL,"0.0016651370000000001",NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,"HP14-20231020","20230921-2-dig_media_D11",NULL,NULL,NULL,"0.00149877",NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,"HP14-20231020","20230921-2-dig_media_D12",NULL,NULL,NULL,"0.001512634",NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,"HP14-20231020","20230921-2-dig_media_D21",NULL,NULL,NULL,"0.001706729",NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,"HP14-20231020","20230921-2-dig_media_D25",NULL,NULL,NULL,"0.001512634",NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,"HP14-20231020","20230921-2-dig_media_D28",NULL,NULL,NULL,"0.001866165",NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,"HP14-20231020","20230921-2-dig_media_D9",NULL,NULL,NULL,"0.001443314",NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,"HP14-20231020","20230921-3-dig_media_D11",NULL,NULL,NULL,"0.001914949",NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,"HP14-20231020","20230921-3-dig_media_D12",NULL,NULL,NULL,"0.001985938",NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,"HP14-20231020","20230921-3-dig_media_D19",NULL,NULL,NULL,"0.00203918",NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,"HP14-20231020","20230921-3-dig_media_D21",NULL,NULL,NULL,"0.002314261",NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,"HP14-20231020","20230921-3-dig_media_D25",NULL,NULL,NULL,"0.0023053870000000003",NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,"HP14-20231020","20230921-3-dig_media_D28",NULL,NULL,NULL,"0.002181157",NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,"HP14-20231020","20230921-3-dig_media_D9",NULL,NULL,NULL,"0.0016398679999999998",NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,"HP14-20231020","TGFBS231012D_dig",NULL,NULL,NULL,"0.001284925",NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,"HP14-20231020","TGFBS231012G_dig",NULL,NULL,NULL,"0.001542259",NULL,NULL,NULL,NULL,NULL,NULL,NULL
