,hp_sid,experiment_id,biomaterial_id,sample_id,biopsy_id,mg_per_biopsy_mean,mg_per_biopsy_std,mg_per_ml_mean,mg_per_ml_std,mg_per_cm2_mean,mg_per_cm2_std,net_weight_mg_x,tissue_areal_density_mg_per_cm2
8005,HP49-1251,HP49-20231205,,Hb-DMEM-4,Hb-DMEM-4,,,-0.000926665,,,,,
8009,HP49-1252,HP49-20231205,,Hb-DMEM-0.4,No_ChT_Hb-DMEM-0.4,,,-0.002323667,,,,,
8013,HP49-1253,HP49-20231205,,Hb-DMEM-0.4,Hb-DMEM-0.4,,,-0.001912784,,,,,
8017,HP49-1254,HP49-20231205,,Hb-DMEM-0.08,No_ChT_Hb-DMEM-0.08,,,-0.002898904,,,,,
8021,HP49-1255,HP49-20231205,,Hb-DMEM-0.08,Hb-DMEM-0.08,,,-0.002200402,,,,,
8025,HP49-1256,HP49-20231205,,Hb-DMEM-0.016,No_ChT_Hb-DMEM-0.016,,,-0.002898904,,,,,
8028,HP49-1257,HP49-20231205,,Hb-DMEM-0.016,Hb-DMEM-0.016,,,-0.002118226,,,,,
8032,HP49-1258,HP49-20231205,,Hb-DMEM-0,No_ChT_Hb-DMEM-0,,,-0.002816727,,,,,
8035,HP49-1259,HP49-20231205,,Hb-DMEM-0,Hb-DMEM-0,,,-0.001994961,,,,,
8039,HP49-1260,HP49-20231205,,EXP48-Tube 20-D8,EXP48-EXP48-Tube 20-D8,-0.001120745,,-0.005603727,,,,,
8043,HP49-1261,HP49-20231205,,EXP48-Tube 19-D8,EXP48-EXP48-Tube 19-D8,-0.001038569,,-0.005192844,,,,,
8083,HP45-1262,HP45-20231201,,B-D01,EXP 50-B-D01-1,,,0.007618704,,,,,
8087,HP45-1263,HP45-20231201,,B-D01,No_ChT_EXP50_-B-D01-1,,,0.003673207,,,,,
8090,HP45-1264,HP45-20231201,,B-D01,EXP 50-B-D01-2,,,0.00677324,,,,,
8094,HP45-1265,HP45-20231201,,B-D01,No_ChT_EXP50_-B-D01-2,,,0.003955028,,,,,
8097,HP45-1266,HP45-20231201,,B-D01,EXP 50-B-D01-3,,,0.007336882,,,,,
8101,HP45-1267,HP45-20231201,,B-D01,No_ChT_EXP50_-B-D01-3,,,0.010530856,,,,,
8104,HP45-1268,HP45-20231201,,B-D01,EXP 50-B-D01-4,,,0.008088406,,,,,
8108,HP45-1269,HP45-20231201,,B-D01,No_ChT_EXP50_-B-D01-4,,,0.00433079,,,,,
8111,HP45-1270,HP45-20231201,,B-D02,EXP 50-B-D02-1,,,0.008886899,,,,,
8115,HP45-1271,HP45-20231201,,B-D02,No_ChT_EXP50_-B-D02-1,,,0.004988372,,,,,
8118,HP45-1272,HP45-20231201,,B-D02,EXP 50-B-D02-2,,,0.008745988,,,,,
8122,HP45-1273,HP45-20231201,,B-D02,No_ChT_EXP50_-B-D02-2,,,0.005458074,,,,,
8125,HP45-1274,HP45-20231201,,B-D02,EXP 50-B-D02-3,,,0.009591452,,,,,
8129,HP45-1275,HP45-20231201,,B-D02,No_ChT_EXP50_-B-D02-3,,,0.005739896,,,,,
8132,HP45-1276,HP45-20231201,,B-D02,EXP 50-B-D02-4,,,0.00907478,,,,,
8136,HP45-1277,HP45-20231201,,B-D02,No_ChT_EXP50_-B-D02-4,,,0.005270194,,,,,
8139,HP45-1278,HP45-20231201,,B-D03,EXP 50-B-D03-1,,,0.010342975,,,,,
8143,HP45-1279,HP45-20231201,,B-D03,No_ChT_EXP50_-B-D03-1,,,0.005270194,,,,,
8146,HP45-1280,HP45-20231201,,B-D03,EXP 50-B-D03-2,,,0.009356601,,,,,
8150,HP45-1281,HP45-20231201,,B-D03,No_ChT_EXP50_-B-D03-2,,,0.004706551,,,,,
8153,HP45-1282,HP45-20231201,,B-D03,EXP 50-B-D03-3,,,0.010436916,,,,,
8157,HP45-1283,HP45-20231201,,B-D03,No_ChT_EXP50_-B-D03-3,,,0.004894432,,,,,
