,dna_sid,experiment_id,sample_id,sample_type,description,sample_replicate,sample_diameter_mm,digestion_volume_ul,digested_sample_volume_ul,buffer_volume_ul,dilution_factor,assay_volume_ul,std_conc_ng_per_well,biopsy_region,culture_duration_days,master_well_plate_location,abs,sheet_name,location,ng_per_well,ug_per_ml,ug_per_biopsy,ug_per_cm2,r_squared,data_check,avg_ug_per_cm2,avg_ug_per_cm2_std
107,DNA288-39,DNA288,"28 EXP163B
F7-ST_P24 - A
",sample,,1,8,500,10,390,40,20,,,,,24339804,Plate2,G5,188.37638222905036,376.7527644581007,188.37638222905036,374.7629049190204,,,376.33196767117414,3.0914469192944973
108,DNA288-4,DNA288,STD 4,standard,,,,,,,,20,40,,,,6100719,Plate1,D1,,,,,0.9953028818179048,,,
109,DNA288-4,DNA288,STD 4,standard,,,,,,,,20,40,,,,6336778,Plate1,D2,,,,,0.9953028818179048,,,
110,DNA288-4,DNA288,STD 4,standard,,,,,,,,20,40,,,,6026904,Plate2,D1,,,,,0.9948614745010336,,,
111,DNA288-4,DNA288,STD 4,standard,,,,,,,,20,40,,,,5740199,Plate2,D2,,,,,0.9948614745010336,,,
112,DNA288-4,DNA288,STD 4,standard,,,,,,,,20,40,,,,6192364,Plate3,D1,,,,,0.9948561918820031,,,
113,DNA288-4,DNA288,STD 4,standard,,,,,,,,20,40,,,,6074094,Plate3,D2,,,,,0.9948561918820031,,,
114,DNA288-40,DNA288,"29 EXP163B
F7-ST_P24 - B
",sample,,2,8,500,10,390,40,20,,,,,26996516,Plate2,H3,209.35888481047544,418.71776962095083,209.35888481047542,416.50626747242353,,,432.43427816588684,27.51380670556761
115,DNA288-40,DNA288,"29 EXP163B
F7-ST_P24 - B
",sample,,2,8,500,10,390,40,20,,,,,27001980,Plate2,H4,209.4020390530523,418.80407810610455,209.40203905305228,416.59212011019224,,,432.43427816588684,27.51380670556761
116,DNA288-40,DNA288,"29 EXP163B
F7-ST_P24 - B
",sample,,2,8,500,10,390,40,20,,,,,30032216,Plate2,H5,233.33460483072298,466.6692096614459,233.33460483072295,464.20444691504497,,,432.43427816588684,27.51380670556761
117,DNA288-41,DNA288,"30 EXP163B
F7-ST_P24 - C
",sample,,3,8,500,10,390,40,20,,,,,26117034,Plate2,A6,202.41280509415054,404.8256101883011,202.41280509415054,402.6874809478804,,,394.50946202839947,7.20475812890616
118,DNA288-41,DNA288,"30 EXP163B
F7-ST_P24 - C
",sample,,3,8,500,10,390,40,20,,,,,25420470,Plate2,A7,196.91139736605368,393.82279473210735,196.91139736605368,391.74277802424825,,,394.50946202839947,7.20475812890616
119,DNA288-41,DNA288,"30 EXP163B
F7-ST_P24 - C
",sample,,3,8,500,10,390,40,20,,,,,25252154,Plate2,A8,195.58205082623488,391.16410165246975,195.58205082623488,389.0981271130699,,,394.50946202839947,7.20475812890616
120,DNA288-42,DNA288,PN2 P15 A3,sample,EXP143,1,8,500,10,390,40,20,,,,,1296515,Plate2,B6,6.382296710174776,12.764593420349552,6.382296710174776,12.697175871293215,,,12.25599219662964,0.5018360731205872
121,DNA288-42,DNA288,PN2 P15 A3,sample,EXP143,1,8,500,10,390,40,20,,,,,1275104,Plate2,B7,6.2131943148941104,12.42638862978822,6.21319431489411,12.360757345073244,,,12.25599219662964,0.5018360731205872
122,DNA288-42,DNA288,PN2 P15 A3,sample,EXP143,1,8,500,10,390,40,20,,,,,1233690,Plate2,B8,5.886109797676159,11.772219595352318,5.886109797676159,11.710043373522458,,,12.25599219662964,0.5018360731205872
123,DNA288-43,DNA288,PN2 P15 A4,sample,EXP143,2,8,500,10,390,40,20,,,,,1367763,Plate2,C6,6.945007814698478,13.890015629396956,6.945007814698478,13.816654044013807,,,13.592265039625998,0.44460532376823897
124,DNA288-43,DNA288,PN2 P15 A4,sample,EXP143,2,8,500,10,390,40,20,,,,,1320891,Plate2,C7,6.5748164424321,13.1496328848642,6.5748164424321,13.080181709186732,,,13.592265039625998,0.44460532376823897
125,DNA288-43,DNA288,PN2 P15 A4,sample,EXP143,2,8,500,10,390,40,20,,,,,1371792,Plate2,C8,6.9768285400539405,13.95365708010788,6.97682854005394,13.879959365677449,,,13.592265039625998,0.44460532376823897
126,DNA288-44,DNA288,F4 P15 A3,sample,EXP143,1,8,500,10,390,40,20,,,,,1222764,Plate2,D6,5.799817108365218,11.599634216730436,5.799817108365218,11.53836952281584,,,10.91111942493537,0.7488109123686931
127,DNA288-44,DNA288,F4 P15 A3,sample,EXP143,1,8,500,10,390,40,20,,,,,1195685,Plate2,D7,5.585949294540306,11.171898589080612,5.585949294540306,11.112893026084691,,,10.91111942493537,0.7488109123686931
128,DNA288-44,DNA288,F4 P15 A3,sample,EXP143,1,8,500,10,390,40,20,,,,,1130081,Plate2,D8,5.067814058447041,10.135628116894082,5.067814058447041,10.082095725905575,,,10.91111942493537,0.7488109123686931
129,DNA288-45,DNA288,F4 P15 A4,sample,EXP143,2,8,500,10,390,40,20,,,,,1239718,Plate2,E6,5.933718467927518,11.867436935855036,5.933718467927518,11.804757813579155,,,12.01898088520043,0.7074934043191802
130,DNA288-45,DNA288,F4 P15 A4,sample,EXP143,2,8,500,10,390,40,20,,,,,1303621,Plate2,E7,6.438419339704664,12.876838679409328,6.438419339704664,12.808828295155676,,,12.01898088520043,0.7074934043191802
131,DNA288-45,DNA288,F4 P15 A4,sample,EXP143,2,8,500,10,390,40,20,,,,,1216717,Plate2,E8,5.752058377607094,11.504116755214188,5.752058377607094,11.44335654686646,,,12.01898088520043,0.7074934043191802
132,DNA288-46,DNA288,F7 P15 A3,sample,EXP143,1,8,500,10,390,40,20,,,,,2624802,Plate2,F6,16.873003044310096,33.74600608862019,16.873003044310096,33.56777299133187,,,33.46158848803009,0.6303382152723845
133,DNA288-46,DNA288,F7 P15 A3,sample,EXP143,1,8,500,10,390,40,20,,,,,2654353,Plate2,F7,17.106394519857197,34.212789039714394,17.106394519857197,34.03209057894228,,,33.46158848803009,0.6303382152723845
134,DNA288-46,DNA288,F7 P15 A3,sample,EXP143,1,8,500,10,390,40,20,,,,,2574977,Plate2,F8,16.479489110123964,32.95897822024793,16.479489110123964,32.784901893816105,,,33.46158848803009,0.6303382152723845
135,DNA288-47,DNA288,F7 P15 A4,sample,EXP143,2,8,500,10,390,40,20,,,,,3408090,Plate2,G6,23.059350108651,46.11870021730199,23.059350108650996,45.875119428480495,,,45.99474328442471,1.0726104341141924
136,DNA288-47,DNA288,F7 P15 A4,sample,EXP143,2,8,500,10,390,40,20,,,,,3487456,Plate2,G7,23.686176539170145,47.37235307834028,23.68617653917014,47.12215098945263,,,45.99474328442471,1.0726104341141924
137,DNA288-47,DNA288,F7 P15 A4,sample,EXP143,2,8,500,10,390,40,20,,,,,3351564,Plate2,G8,22.612912203105488,45.225824406210975,22.612912203105488,44.98695943534099,,,45.99474328442471,1.0726104341141924
138,DNA288-48,DNA288,PN2 P16 A3,sample,EXP143,1,8,500,10,390,40,20,,,,,2035726,Plate2,H6,12.220527092586487,24.441054185172977,12.220527092586488,24.311966174669596,,,22.021719267877206,2.1362271764436875
