,HP_sid,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2,avg mg/biopsy,mg/biopsy std,avg mg/cm2,mg/cm2 std,avg mg/ml,mg/ml std
32,17,HP82-20240202,Hyp-water_0.0125,sample,liquid,,Hyp-water_0.0125,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.164,Plate2,A5,,0.164,,,0.04336654105359897,0.008673308210719793,,,,,,,0.00786972975238913,0.00786972975238913
33,17,HP82-20240202,Hyp-water_0.0125,sample,liquid,,Hyp-water_0.0125,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.154,Plate2,B5,,0.154,,,0.03533075647029231,0.007066151294058462,,,,,,,0.00786972975238913,0.00786972975238913
34,17,HP82-20240202,Hyp-water_0.0125,sample,liquid,,Hyp-water_0.0125,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.155,Plate2,C5,,0.155,,,0.036134334928622974,0.007226866985724595,,,,,,,0.00786972975238913,0.00786972975238913
35,17,HP82-20240202,Hyp-water_0.0125,sample,liquid,,Hyp-water_0.0125,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.163,Plate2,D5,,0.163,,,0.04256296259526832,0.008512592519053664,,,,,,,0.00786972975238913,0.00786972975238913
36,18,HP82-20240202,Hyp-water_0.00625,sample,liquid,,Hyp-water_0.00625,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.125,Plate2,A6,,0.125,,,0.012026981178702989,0.002405396235740598,,,,,,,0.002566111927406731,0.002566111927406731
37,18,HP82-20240202,Hyp-water_0.00625,sample,liquid,,Hyp-water_0.00625,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.123,Plate2,B6,,0.123,,,0.01041982426204166,0.002083964852408332,,,,,,,0.002566111927406731,0.002566111927406731
38,18,HP82-20240202,Hyp-water_0.00625,sample,liquid,,Hyp-water_0.00625,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.127,Plate2,C6,,0.127,,,0.013634138095364318,0.0027268276190728635,,,,,,,0.002566111927406731,0.002566111927406731
39,18,HP82-20240202,Hyp-water_0.00625,sample,liquid,,Hyp-water_0.00625,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,0.128,Plate2,D6,,0.128,,,0.014437716553694996,0.002887543310738999,,,,,,,0.002566111927406731,0.002566111927406731
40,19,HP82-20240202,Hyp-media_0.2,sample,liquid,,Hyp-media_0.2,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,1.287,Plate2,A7,,1.287,,,0.945785149758937,0.1891570299517874,,,,,,,0.19132669178928022,0.19132669178928022
41,19,HP82-20240202,Hyp-media_0.2,sample,liquid,,Hyp-media_0.2,01-31-2024,1,,800,4,20,,,,,DS,,,,01-31-2024,1.314,Plate2,B7,,1.314,,,0.9674817681338651,0.19349635362677303,,,,,,,0.19132669178928022,0.19132669178928022
