,ID,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2
81,66,HP45-20231266,B-D03,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D03,11-10-2023,2,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.147,Plate1,G10,,0.147,,,2.0822258373269404,0.2212364952159874,,
82,23,HP45-20231223,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.207,Plate1,A11,,0.207,,,4.734660718716524,0.5030577013636307,,
83,23,HP45-20231223,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.217,Plate1,B11,,0.217,,,5.1767331989481224,0.550027902388238,,
84,23,HP45-20231223,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.212,Plate1,C11,,0.212,,,4.955696958832323,0.5265428018759344,,
85,23,HP45-20231223,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.21,Plate1,D11,,0.21,,,4.867282462786003,0.5171487616710128,,
86,67,HP45-20231267,B-D03,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D03,11-10-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.153,Plate1,E11,,0.153,,,2.347469325465899,0.24941861583075178,,
87,67,HP45-20231267,B-D03,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D03,11-10-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.152,Plate1,F11,,0.152,,,2.3032620774427386,0.244721595728291,,
88,67,HP45-20231267,B-D03,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D03,11-10-2023,3,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.148,Plate1,G11,,0.148,,,2.1264330853501,0.2259335153184481,,
89,24,HP45-20231224,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.196,Plate1,A12,,0.196,,,4.248380990461769,0.4513904802365629,,
90,24,HP45-20231224,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.205,Plate1,B12,,0.205,,,4.646246222670204,0.4936636611587092,,
91,24,HP45-20231224,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.213,Plate1,C12,,0.213,,,4.999904206855483,0.531239821978395,,
92,24,HP45-20231224,B-D03,sample,liquid,EXP 50,B-D03,11-10-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.2,Plate1,D12,,0.2,,,4.4252099825544065,0.47017856064640573,,
93,68,HP45-20231268,B-D03,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D03,11-10-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.159,Plate1,E12,,0.159,,,2.6127128136048574,0.2776007364455161,,
94,68,HP45-20231268,B-D03,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D03,11-10-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.159,Plate1,F12,,0.159,,,2.6127128136048574,0.2776007364455161,,
95,68,HP45-20231268,B-D03,sample,liquid,No_ChT_EXP50_,No_ChT_EXP50_B-D03,11-10-2023,4,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.154,Plate1,G12,,0.154,,,2.3916765734890584,0.25411563593321246,,
96,7,HP45-20231207,S5,standard,liquid,231108,s5,11-28-2023,1,,1000,1,20,,,,,DS,1,,,11-29-2023,1.222,Plate2,H1,,1.222,0.9970119461232886,,,,,
97,8,HP45-20231208,S4,standard,liquid,231108,s4,11-28-2023,1,,1000,1,20,,,,,DS,0.8,,,11-29-2023,0.996,Plate2,H2,,0.996,0.9970119461232886,,,,,
98,9,HP45-20231209,S3,standard,liquid,231108,s3,11-28-2023,1,,1000,1,20,,,,,DS,0.6,,,11-29-2023,0.782,Plate2,H3,,0.782,0.9970119461232886,,,,,
99,10,HP45-20231210,S2,standard,liquid,231108,s2,11-28-2023,1,,1000,1,20,,,,,DS,0.4,,,11-29-2023,0.546,Plate2,H4,,0.546,0.9970119461232886,,,,,
100,11,HP45-20231211,S1,standard,liquid,231108,s1,11-28-2023,1,,1000,1,20,,,,,DS,0.2,,,11-29-2023,0.312,Plate2,H5,,0.312,0.9970119461232886,,,,,
101,12,HP45-20231212,S0,standard,liquid,231108,s0,11-28-2023,1,,1000,1,20,,,,,DS,0,,,11-29-2023,0.087,Plate2,H6,,0.087,0.9970119461232886,,,,,
102,7,HP45-20231207,S5,standard,liquid,231108,s5,11-28-2023,1,,1000,1,20,,,,,DS,1,,,11-29-2023,1.146,Plate2,H7,,1.146,0.9970119461232886,,,,,
103,8,HP45-20231208,S4,standard,liquid,231108,s4,11-28-2023,1,,1000,1,20,,,,,DS,0.8,,,11-29-2023,0.966,Plate2,H8,,0.966,0.9970119461232886,,,,,
104,9,HP45-20231209,S3,standard,liquid,231108,s3,11-28-2023,1,,1000,1,20,,,,,DS,0.6,,,11-29-2023,0.745,Plate2,H9,,0.745,0.9970119461232886,,,,,
105,10,HP45-20231210,S2,standard,liquid,231108,s2,11-28-2023,1,,1000,1,20,,,,,DS,0.4,,,11-29-2023,0.549,Plate2,H10,,0.549,0.9970119461232886,,,,,
106,11,HP45-20231211,S1,standard,liquid,231108,s1,11-28-2023,1,,1000,1,20,,,,,DS,0.2,,,11-29-2023,0.323,Plate2,H11,,0.323,0.9970119461232886,,,,,
107,12,HP45-20231212,S0,standard,liquid,231108,s0,11-28-2023,1,,1000,1,20,,,,,DS,0,,,11-29-2023,0.082,Plate2,H12,,0.082,0.9970119461232886,,,,,
108,25,HP45-20231225,B-D04,sample,liquid,EXP 50,B-D04,11-11-2023,1,,400,2.125,20,,,,,DS,,TGFBS (Liquid DMEM),,11-29-2023,0.235,Plate2,A1,,0.235,,,6.368576517365494,0.6766612549700838,,
